date,days_to_ignition,phase,bi,erc,fm100,fm1000,tmmx,tmmn,rmax,rmin,pr,vpd,vs
2020-12-25,-201,pre_fire,1.1954286,18.72,16.904228,17.987085,278.02435,270.84262,79.89234,51.592686,22.207773,0.25517714,6.081714
2020-12-26,-200,pre_fire,0.0,13.348572,20.062971,19.11074,276.7505,267.99384,96.945595,60.989597,9.456,0.13622858,5.746743
2020-12-27,-199,pre_fire,22.718857,22.022858,18.627657,18.965942,275.20456,267.9112,81.45931,51.602055,0.28811428,0.20608,4.561029
2020-12-28,-198,pre_fire,24.318857,23.093714,18.460571,19.163542,276.63828,265.4609,91.77395,45.35657,0.107771434,0.21561143,3.919086
2020-12-29,-197,pre_fire,24.833143,29.08343,15.947542,18.889029,279.7143,265.00024,64.615654,22.379429,0.007885714,0.43798855,2.6740572
2020-12-30,-196,pre_fire,0.0,18.418285,16.021944,18.967428,279.75406,267.83746,70.040565,30.758057,4.3201146,0.39122286,4.961943
2020-12-31,-195,pre_fire,23.118856,22.99657,17.640345,19.159084,277.56238,266.82376,99.2,59.545376,0.0,0.13122284,3.5086858
2021-01-01,-194,pre_fire,9.675428,19.169144,17.959772,19.020227,278.44217,266.7944,90.444,45.788345,1.1767999,0.2478857,3.5870857
2021-01-02,-193,pre_fire,14.36,18.881144,18.176458,18.901487,277.12662,271.3257,87.753586,65.93623,0.90582854,0.16227427,4.0857143
2021-01-03,-192,pre_fire,7.0742855,16.997715,18.120457,19.0216,278.6849,272.78308,83.71817,62.218628,2.0557716,0.21219428,4.0241146
2021-01-04,-191,pre_fire,0.0,9.104,21.681944,20.3888,276.86298,269.71234,98.16903,72.39897,22.11337,0.09060571,7.6587434
2021-01-05,-190,pre_fire,9.906285,16.44457,19.763428,20.47097,278.72217,268.03314,82.34892,42.36651,0.7913143,0.29182857,2.6489143
2021-01-06,-189,pre_fire,12.897142,18.276571,18.419313,20.237373,279.1511,268.15955,82.921486,41.74594,0.5034286,0.30231997,3.3386285
2021-01-07,-188,pre_fire,12.104,19.924572,17.1696,20.131773,279.39075,267.24664,78.0552,35.936913,0.84525716,0.3433257,2.679543
2021-01-08,-187,pre_fire,12.626286,17.449142,18.29063,20.105598,277.1806,266.244,96.95086,52.855885,0.9275428,0.17989714,4.221143
2021-01-09,-186,pre_fire,21.004572,23.398857,17.4704,19.8464,278.56046,266.02524,84.26092,38.122974,0.09588572,0.30656,3.0404572
2021-01-10,-185,pre_fire,19.182858,24.621714,16.661257,19.665257,279.6561,269.44196,81.65474,43.53234,0.0025142857,0.31017143,1.8998857
2021-01-11,-184,pre_fire,20.670856,27.152,15.395084,19.140345,282.29874,269.92056,73.600914,33.391888,0.1056,0.44959998,2.451657
2021-01-12,-183,pre_fire,10.730286,21.18743,14.969942,19.197943,280.4368,273.63065,69.45371,48.083313,1.824,0.35677713,4.9465146
2021-01-13,-182,pre_fire,8.516571,19.414858,16.309372,19.251085,284.12366,272.69843,92.55909,48.62274,1.3704,0.34234288,3.9622858
2021-01-14,-181,pre_fire,19.189714,27.434286,14.729714,19.006287,287.15533,273.0264,67.52891,27.550285,0.31554288,0.6816,2.4931426
2021-01-15,-180,pre_fire,23.358856,32.08914,13.2648,18.463085,285.7217,273.5945,62.28869,29.129827,0.0,0.63945144,1.9876571
2021-01-16,-179,pre_fire,26.618286,32.578285,12.729257,18.103086,285.5216,272.976,69.061935,31.078974,0.10445713,0.5923885,3.1569142
2021-01-17,-178,pre_fire,31.65257,34.269714,12.183542,17.812685,287.46753,272.56754,68.40971,26.355085,0.12468571,0.6943885,4.252571
2021-01-18,-177,pre_fire,40.37486,34.998856,12.048685,17.407772,282.0151,269.00674,72.0336,31.308117,0.048914284,0.45090282,6.3705144
2021-01-19,-176,pre_fire,49.966858,35.290287,11.734172,17.19966,277.41965,267.54846,66.19955,35.54606,0.046628576,0.33542857,9.183429
